文本内容,标签,文本长度
。专家文献检索是医学高校图书馆的一项很重要的学科服务内容定期系统回顾分析数据非常有必要文章介绍了研究电子数据捕获Research Electronic Data CaptureREDCap软件的新用途高校图书馆利用REDCap创建中介文献检索数据库接受线上委托学科馆员可以前瞻性开展中介文献检索服务同时采集积累的数据有助于学科馆员重复使用检索策略以及跟踪工作量从而识别用户需求统计绩效关注馆员继续教育分配学科服务馆员等值得推广应用,数据库应用,215
。丛枝菌根Arbuscular MycorrhizaAM真菌是一类重要的根际共生微生物能与大多数陆生植物形成互惠共生关系在促进植物养分吸收增强抗逆性维持生物多样性和生态系统稳定性等方面发挥关键作用当前AM真菌的多样性和群落研究主要依赖对SSU小亚基ITS内转录间隔区或LSU大亚基等r DNA区段进行二代测序但该技术的短读长特性导致了物种分辨率不足限制了对AM真菌菌群结构的精准解析随着三代测序技术的发展针对SSUITSLSU r DNA长片段的高通量测序已成为可能显著提升了AM真菌的物种鉴定能力和群落结构的解析精度然而目前尚缺乏系统专业的AM真菌SSUITSLSU r DNA分类注释参考数据库严重制约了三代测序技术在AM真菌群落研究中的应用和推广本研究基于国际核苷酸序列数据库INSD及已发表文献系统收集了AM真菌SSUITSLSU r DNA序列及相应的地理宿主样本来源等信息数据并结合严格的序列质量控制系统发育分析及物种分类注释成功构建了AM真菌SSUITSLSU r DNA数据库简称为AMFSIL数据库此外利用从青藏高原高寒草地中采集的105份植物根系样品对AM真菌群落进行Pac Bio三代测序SSUITSLSU r DNA和Illumina二代测序SSU r DNA并结合生物信息学分析和系统发育分析验证了AMFSIL数据库的注释准确性注释效果和应用潜力主要研究结果如下1成功构建了AMFSIL数据库该数据库共包括1172个AM真菌分子种97序列相似性水平及相应的分类注释信息1门1纲5目13科38属及173个已知形态种此外数据库还收集了共计6809条AM真菌SSUITSLSU r DNA序列及相应的地理样品来源等信息的metadata数据集从地理信息来看这些r DNA序列主要来源于欧洲北美洲和中国从样品类型来看序列主要来源于根系和土壤的环境样品孢子来源的序列较少2通过对青藏高原根系样品中的AM真菌群落进行PacBio三代测序并基于该测序数据对本研究数据库的注释效果进行了验证结果表明AMFSIL数据库在目和属水平上的注释结果与系统发育树的注释结果相似性分别高达94和85此外与广泛应用的UNITE数据库相比本研究的AMFSIL数据库在各分类水平上均能注释出更多的OTU数量尤其在属水平上AMFSIL数据库注释出的OTU数量比UNITE数据库高出116个这些结果表明AMFSIL数据库在AM真菌分类注释方面具有很高的注释准确性和良好的注释效果我们进一步对相同根系样品的三代Pac BioAMFSIL数据库和二代IlluminaMaarj AM数据库目前最常用的AM真菌参考数据库测序数据进行对比结果表明虽然两套技术获得的AM真菌群落数据具有较高的相似性但Pac BioAMFSIL数据库的分析方法在揭示的AM真菌物种数量及注释精度等方面均要明显优于IlluminaMaarj AM数据库的方法表明了AMFSIL数据库具有很好的应用可行性综上所述本研究成功构建了一个物种涵盖比较全面分类注释准确适用AM真菌SSUITSLSU r DNA三代测序分析的专业数据库该数据库填补了当前AM真菌在长读长测序技术背景下缺乏系统分类参考数据库的空白不仅为后续基于Pac Bio三代测序技术的AM真菌群落结构解析提供了全面的比对参考而且为特定单菌株的物种鉴定与系统发育分析提供了高质量的数据支撑对于提升AM真菌的研究精度与分类深度具有重要意义为三代测序技术在AM真菌群落生态学研究中的广泛应用提供了技术支撑本研究构建的AMFSIL数据库及相关的生物信息学分析流程均可通过Git Hub访问下载httpsgithubcomamfsilamfsil,数据库应用,1526
。两线制以太网EthernetAPL通信技术以其供电高带宽远距离防爆设计成为目前工业领域最具潜力的现场通信技术国内产业链正在积极推动EthernetAPL芯片仪表交换机控制系统的研发从工业控制系统角度提出了EthernetAPL新型工业控制系统可能的应用场景以及与之匹配的系统架构同时也对该控制系统的网络负荷实时性网络冗余仪表IP分配等关键技术提出了设计方案随着该技术的推广将会助力仪表智能化及工厂智能制造的实现,工业控制系统,206
。中医药是中华民族几千年实践经验的总结在重大慢性疾病新发突发传染病等方面表现出巨大潜力和良好的治疗效果中药是先导化合物发现的巨大宝库其数据库种类繁多如中药化学数据库中药系统药理学数据库与分析平台TCMBank数据库等随着人工智能技术的飞速发展已进入大数据时代人工智能与中医药深度融合推动了中药数据库的发展中药信息标准化数据分析智能化是中医药现代化发展的必由之路开辟了中医药科技创新赛道是推动中医药产业高质量发展的强大引擎通过对中药数据库的研究进展进行综述并对数据库的应用进行展望为推动中药数据库在人工智能支持下的创新升级提供参考助力中药产业的现代化发展,数据库应用,276
。中国农业拥有十分悠久的历史是经济发展中不可或缺的一部分现阶段人们的生活水平日益提升互联网发展速度不断加快人们的粮食安全意识越来越强在此形势下农业信息技术逐渐广泛运用于农业生产中利用农业信息化可以确保病虫害防治工作的准确性对此该文主要对农业信息化在蔬菜病虫害防治技术中的应用进行了探讨以供参考,农业信息化,146
。中国农业的建设离不开农业信息化的发展农业信息化也是衡量国家或地区经济增长水平农业现代化建设农业水平与农业高质量发展的一项重要标准对社会和经济都有很大的影响召开的党的二十大会议中明确指出要加快推进农业现代化这是为促进中国农业现代化发展国家做出的重大决策济南市作为山东省的一个主要粮食主产区和农产品生产地在乡村振兴战略实施的背景下加快推进农业信息化的发展进程不仅能促进中国农业发展方式转变更是农村快速发展的重要措施之一因此研究济南市农业信息化发展水平及影响因素并提出相应的建议不仅对济南市农业信息化的发展具有重要的推动作用对促进农民收入增长也有重大的实际意义本文基于济南市农业信息化发展的实际情况结合20132022年山东省统计年鉴济南市统计年鉴对济南市农业基本情况和济南市农业信息化建设的总体水平及影响因素进行了分析在梳理农业信息化的相关文献的基础上明确了农业信息化的内涵农业信息化的影响因素并在此基础上结合信息市场理论信息生产力理论信息促进经济增长理论等方面的研究成果分别从农业信息化基础设施建设农业信息化人才农业信息化资源和信息技术应用农业信息化政策支持4个方面展开共计16个二级指标选取了济南市农业信息化发展水平评价的指标体系并采用了综合指数法来衡量济南市农业信息化发展的水平运用DEMATEL方法从基础设施层面人才资源层面信息资源和技术应用层面经济环境层面和政策环境层面6个层面共计15个二级指标识别出影响济南市农业信息化发展的关键影响因素并进行分析研究结果表明济南市农业信息化水平在20132022年间总体呈现出上升的趋势在济南市农业信息化水平评价的4个指标体系中农业信息化政策农业信息化资源和信息技术应用方面农业信息化发展水平比较高而农业信息化人才农业信息化基础建设等方面的发展都比较缓慢还有很大的发展空间在对济南市农业信息化发展的众多因素进行分析后发现济南市农业信息化建设的资金投入网络涉农数据库的数量和应用程度是制约其进一步提升的重要因素为此在济南市农业信息化建设过程中要发挥政府的主导作用加大资金投入力度加快农业信息化基础设施的建设提高农业信息资源的开发和利用效率加强农业专业人才的培养与引进完善农业信息化平台建设为济南市的农业信息化建设提供有力的支持,农业信息化,935
。中国有句谚语叫作三个臭皮匠顶个诸葛亮意指集思广益协同合作往往能超越单一的智慧这一思想在语义通信的研究中同样适用针对现实场景中多源观测多类别信息并存语义表达多样且易受干扰的挑战本文面向多观测语义通信系统Semantic MultiObservation Communication SystemSMOCS提出一种基于语义一致性融合机制的神经网络架构旨在实现多角度观测下语义信息的有效整合与可靠判别在该系统中多个结构异构的预训练神经网络模拟不同观察者对同一语义事件的建模过程各自独立生成语义判别概率从而形成丰富多样的语义表达在此基础上本文引入CEO融合网络Chief Executive Officer Fusion Network作为语义集成模块专注于从多源判别结果中挖掘潜在的分布一致性与互补结构该网络不直接参与语义特征提取而是通过深度融合机制从多个观测模型输出中学习其内在关联与语义聚合方式进而生成更加稳定准确的最终判决结果整个系统结构体现了由多观察协同建模统一判决驱动的语义通信优化策略为了验证所提方法的有效性本文选用MNIST手写数字识别任务作为实验平台对多层感知机Multilayer PerceptronMLP卷积神经网络Convolutional Neural NetworkCNN循环神经网络Recurrent Neural NetworkRNN长短期记忆Long ShortTerm MemoryLSTM网络和残差神经网络Residual Neural NetworkResNet等子网络进行预训练并固定权重最终只训练CEO网络以保证信息融合阶段的纯粹性实验结果表明相比单一神经网络分类器所提系统在识别准确率鲁棒性与抗干扰能力方面均实现明显提升尤其在面对语义扰动和信息缺失的场景中展现出更强的容错能力与表达稳定性为了验证结构泛化性本文还在文本语义传输任务中进行了仿真实验展示了模型在多模态多场景下的适用性与优越性能,神经网络,816
。中等职业教育的计算机网络课程存在学生基础差异较大传统课堂教学效率不高实践操作资源不足等问题人工智能技术与教育的结合为解决这些问题带来了新的方法智慧教学系统采用分层设计融合机器学习自然语言处理和知识图谱等技术主要提供学习路径规划学习评价和资源推荐三项功能线上线下结合的教学方式将网络理论学习与实际操作相融合使课程安排更合理个性化学习路径可根据学生特点不断调整学习内容多元化评价方法能全面跟踪学生的学习情况与效果实验研究表明使用智慧教学系统的学生在知识掌握技能操作和学习积极性等方面均比接受传统教学的学生有显著提升该系统运行稳定可靠为中职教育数字化改革提供了可行方案,计算机网络,282
。串联式神经网络tandem neural network architecture TNNA是一种通过逆向建模实现参数反演的算法框架其可靠性高度依赖于替代模型在参数真实后验分布区域的预测精度反应性溶质运移属于多物理场耦合问题其替代模型的全局预测精度依赖于大量的数值模拟样本限制了反演计算效率为此本文提出了一种基于多保真度multifidelity MF替代模型自适应更新策略 adaptive updating strategy AUS的串联式神经网络TNNAAUSMF反演算法该方法在传统TNNA算法的基础上通过反演结果引导的局部采样建立多保真度替代模型并在迭代过程中逐步更新模型参数反演结果算法验证基于一个假想的阳离子交换实验开展通过控制初始替代模型样本数目设计了6种不同初始替代模型精度的反演计算场景结果表明TNNAAUSMF算法相比于TNNA算法能够显著减少正演模拟计算次数并改善反演结果此外少样本场景的研究结果验证了利用神经网络构建低高保真度模型间非线性关系的可行性并表明结合自适应更新采样策略能够有效提升反演算法性能,神经网络,465
。为了保障人们的居住环境能够随时随地查看环境数据以提高生活的便捷性和舒适度文章通过使用STM32F103系列单片机为核心控制器设计了一个环境监测系统命名为环境监测小卫士文中使用气体传感器模块大气压监测模块DHT11温湿度模块紫外线传感器模块语音模块以及GSM模块等来监测温湿度甲烷体积分数CO2体积分数紫外线强度等数据可直接显示到OLED屏上使用者可以通过语音和小卫士进行交互获取信息还可通过无线技术在手机APP上实现实时监测从而多渠道获取数据经测试此系统工作稳定性能强大数据精确且功耗低可广泛应用于家庭环境监测领域以减少环境污染带给人们的困扰,单片机应用,272
。为了实现单片机采集环境温湿度信息后的可视化显示与保存通过LabVIEW和PC机作为上位机单片机作为下位机设计出一种温湿度采集系统基于LabVIEW软件设计了温湿度监控系统通过AM2320温湿度传感器采集温湿度信息通过配置单片机和LabVIEW的串口实现温湿度数据的传输通过LabVIEW软件的波形图表实现数据的可视化显示通过调用LabVIEW的文件IO函数模块实现历史数据的记录测试结果表明该系统结构简单可以实时显示与保存采样数据工作可靠,单片机应用,220
。为了对大规模的农业经济数据进行准确处理和分析此次研究将Spark分布式框架和高斯混合模型进行结合提出一种数据处理方法为了验证该方法的性能研究对该处理方法的数据分类效果进行分析结果显示该方法对农作物生产数据畜牧业生产渔业生产和农业贸易数据进行分类时其分类准确率分别为979897859768和9770分类准确率较高利用该方法对上述数据进行处理时其处理耗时均低于3分钟由上述结果可知研究提出的农业经济数据处理方法能够对数据进行快速和准确处理,聚类算法,219
。为了应对日益复杂的网络信息安全威胁本文提出了一种基于聚类算法的网络信息安全检测与跟踪方法通过高维网络数据预处理与特征工程鲁棒性聚类模型设计与优化动态数据流的增量式聚类与跟踪机制分布式并行计算加速框架以及安全检测与跟踪规则库生成构建了一个高效实时的网络安全检测系统实验结果表明该方法在检测率误报率处理延迟和吞吐稳定性等方面均优于传统方法验证了其在复杂网络环境下的有效性和实用性,聚类算法,188
。为了探寻唐代乐舞服饰的色彩特征规律及其文化内涵揭示其在中国服饰文化中的重要性采用改进的模糊C均值聚类算法结合量化分析与文献研究系统地对81个乐舞服饰样本进行了主色与代表色的提取在HSV色彩空间下构建了乐舞服饰的标准色卡和色彩网络模型结果表明唐代乐舞服饰对中低明度中高纯度的红色系黄色系和绿色系的使用频率较高反映了当时唐代服饰审美的繁荣以及唐代草木染技术的成熟通过对唐代乐舞服饰色彩的分析验证了其在现代时尚产业设计中的可操作性和应用价值为传统色彩的现代应用提供了重要参考,聚类算法,235
。为了推动新时代乡村振兴研究设计面向农业信息化应用基于LoRa技术的综合信息采集系统该系统包括STM32单片机5G无线数据传输模块主从机分布式LoRa节点模块多种传感器太阳能供电系统公有与私有云平台及查看数据的智能移动终端主从机工作过程为主机问询方式即主机向各从机发送问询帧从机将收到的问询帧与本地预设对比若结果一致则将传感器采集到的土壤数据打包发至主机主机随后将多个节点传来的数据再次打包后通过5G模块发送至云平台智能移动终端可实时查看云平台数据该系统能够高效地收集和存储土壤要素空气质量气象信息等数据并且结构简单该系统能提高农业生产效率减少劳动力降低农业生产成本和能源消耗为农业信息化和绿色农业发展提供有力支持,农业信息化,307
。为了提升图书馆线上推荐效果研究提出一种智能化的图书在线推荐技术其中研究基于模糊C均值聚类算法提出一种考虑用户画像的推荐技术同时引入秃鹰搜索算法来改进其次考虑大规模用户行为数据挖掘问题研究提出一种遗传算法优化的关联规则推荐技术通过用户事务集的挖掘完成内容推荐在用户画像聚类的图书推荐中以法制书籍推荐为例研究技术的平均绝对误差与推荐准确度分别为0684与945优于同类技术在关联规则数据挖掘分析中在TOP10下研究算法精确率为0584高于同类技术在TOP80时研究算法的召回率为0574同样优于同类技术可见研究技术具有良好应用效果该研究将为线上图书数字化建设提供技术支持,聚类算法,284
。为了提升水土保持监测数据处理的科学性高效性和准确性探讨智能算法在水土保持监测数据处理中的应用包括数据预处理特征提取数据分类与聚类预测与趋势分析及异常检测与预警研究表明智能算法能显著提高数据处理效率为水土保持工作提供有力支持推动水土保持监测技术的发展增强水土流失治理效果,智能算法,135
。为了提升玉米种植效益推动我国农业高质量发展对农业信息化的发展趋势进行了概述分析了玉米种植管理中采用的农业信息化技术类型包括人机协同技术机械自动化技术传感器技术等详细阐述了农业信息化在玉米种植田间管理技术中的重要作用并提出了农业信息化在玉米种植田间管理技术中的应用策略通过将农业信息化融入玉米选地整地品种选择种植管理灌溉施肥以及病虫害防治等环节促进广大农户增产增收,农业信息化,182
。为了提升输电电缆局部放电简称局放检测的准确性和可靠性解决传统方法因无法学习不同放电模式特征而导致检测偏差的问题提出了一种基于神经网络自适应训练的输电电缆局放检测技术首先在自适应小波变换点基础上生成约束条件按照小波函数簇传递关系输出Sigmoid函数利用神经网络自适应训练获取特征检测适应度构建电缆局放特征提取模型其次对提取的局放特征进行经验模态分解获取多尺度能量特征最后将分解得到的多尺度能量特征作为基础计算局放检测序列的样本均值序列实现输电电缆局放检测结果表明所提电缆局放特征提取模型在不同升压条件下的输出脉冲幅值均稳定在100170 pC范围内有效捕捉了局放信号的时频特征经验模态分解方法能够成功从复杂局放信号中分离出本质模态分量在针对电缆本体绝缘划伤尖端放电和电缆受潮3类缺陷的检测中所提技术的局部放电量聚集范围与预设范围的拟合度均超过95有效解决了混叠干扰下的信号识别难题与传统方法相比所提技术能够更精准地匹配预设的局部放电量范围具有更高的检测准确性和可靠性该研究可为输电电缆局放检测提供一种高精度高可靠性的解决方案为保障电力系统安全稳定运行提供有效的技术支撑,神经网络,485
。为了提高水工建筑物的维护管理效率本文设计并实现了一个水工建筑物维护管理信息系统通过深入分析维护管理的需求结合现代信息技术系统采用模块化设计思想构建了包括数据采集状态监测维护决策支持和信息服务等核心功能模块在内的系统架构在数据库设计中充分考虑了数据的完整性和安全性系统实现了对水工建筑物运行状态的实时监控和历史数据分析提高了维护管理的精确性和预见性测试和案例分析结果表明该系统能够有效支持水工建筑物的日常维护工作提升管理效能具有明显的应用价值和推广前景,管理信息系统,226
。为了提高电力系统负荷预测的精度与效率设计了一种基于智能算法的负荷预测系统采用模块化架构通过数据采集与预处理LSTM深度学习模型构建多场景性能测试和对比分析等方法研究了智能算法在负荷预测中的应用效果结果表明该系统在多场景下均具有较高的预测精度与稳定性但对极端场景的适应性仍有优化空间为电力系统智能化运行提供了有效技术支撑,智能算法,160
。为了提高电子密码器的安全性能防止密码被非法破解和窃取本文介绍了一种基于单片机控制的高安全性电子密码器设计方案该密码器采用了AT89C51单片机作为控制核心通过矩阵键盘输入密码液晶显示器显示操作信息在硬件电路设计中利用单片机的可编程性和高可靠性实现了密码的输入识别存储等功能同时软件程序采用了多重密码验证机制包括固定密码和动态密码相结合的方式有效提高了系统的安全性经测试该密码器能够有效防止暴力破解和字典攻击等常见的安全威胁为高安全性电子密码器的设计提供了可行的参考方案,单片机应用,235
。为了提高纸张缺陷识别检测模型性能提出了一种基于改进SSD目标检测网络的纸张缺陷识别检测模型该模型以SSD目标检测网络为基础模型首先在训练过程中引入余弦退火衰减策略周期性改变学习率大小帮助模型收敛至全局最优解其次使用ResNet50网络替换SSD目标检测网络中的主干网络提高模型底层特征抓取能力与小目标识别精度降低模型参数权重最后引入迁移学习概念提高模型训练收敛速度及学习能力实验结果表明基于改进SSD的纸张缺陷检测可以为后续研究提供研究价值,机器视觉,221
